ID|C1|C2|C3|C4
6|Haushaltsgeräte
88|Haushaltsgeräte|Waschmaschinen
89|Haushaltsgeräte|Wäschetrockner
90|Haushaltsgeräte|Waschtrockner
91|Haushaltsgeräte|Kühl- & Gefrierkombis
93|Haushaltsgeräte|Kühlschränke
95|Haushaltsgeräte|Gefrierschränke
6039|Haushaltsgeräte|Gefriertruhen
96|Haushaltsgeräte|Backöfen/Herde
991|Haushaltsgeräte|Mikrowellen
501|Haushaltsgeräte|Kochfelder
994|Haushaltsgeräte|Dunstabzugshauben
990|Haushaltsgeräte|Geschirrspüler
1031|Haushaltsgeräte|Küchen-Kleingeräte
1028|Haushaltsgeräte|Kaffeegenuss
1029|Haushaltsgeräte|Staubsauger
1033|Haushaltsgeräte|Beauty & Wellness
5|Haushaltsgeräte|Sonstige Haushaltsgeräte
5426|Haushaltsgeräte|Ersatzteile & Zubehör
6027||Ersatzteile & Zubehör|Haustechnik
5448||Ersatzteile & Zubehör|Kühl- & Gefrierschränke
5449||Ersatzteile & Zubehör|Bodenpflege
6026||Ersatzteile & Zubehör|Dometic
5450||Ersatzteile & Zubehör|Geschirrspüler
5430||Ersatzteile & Zubehör|Kochgeräte
5451||Ersatzteile & Zubehör|Kleingeräte
5447||Ersatzteile & Zubehör|Waschpflege
5621||Ersatzteile & Zubehör|Sonstige
1320|Gewerbegeräte
1323|Gewerbegeräte|Gewerbewäschepflege
6040|Gewerbegeräte|Gewerbespülen
1322|Gewerbegeräte|Gewerbekühlgeräte
1321|Gewerbegeräte|Gewerbegefriergeräte
3|Unterhaltungselektronik
17|Unterhaltungselektronik|TV & Projektoren
21|Unterhaltungselektronik|Home Entertainment
929|Unterhaltungselektronik|Tragbare Geräte
22|Unterhaltungselektronik|SAT & Antennentechnik
1391|Unterhaltungselektronik|Sonstige
8|Heimwerken & Garten
145|Heimwerken & Garten|Hämmern & Meißeln
144|Heimwerken & Garten|Schrauben & Bohren
173|Heimwerken & Garten|Trennen & Schleifen
148|Heimwerken & Garten|Sägen
174|Heimwerken & Garten|Hobeln, Tackern & Fräsen
540|Heimwerken & Garten|Sonstige Werkzeuge
232|Heimwerken & Garten|Heißluftgebläse
1397|Heimwerken & Garten|Nass- & Trockensauger
278|Heimwerken & Garten|Messgeräte & Ortung
283|Heimwerken & Garten|Druckluftgeräte
1399|Heimwerken & Garten|Notstromerzeuger
3200|Heimwerken & Garten|Akkus & Ladegeräte
543|Heimwerken & Garten|Zubehör
5408|Heimwerken & Garten|Grill
917|Heimwerken & Garten|Gartengeräte
5937|Heimwerken & Garten|Gartenmöbel
1122|Heimwerken & Garten|Zubehör Garten
918|Haustechnik
1103|Haustechnik|Raumheizgeräte
1104|Haustechnik|Warmwassergeräte
1026|Haustechnik|Klima & Lüftung
1106|Haustechnik|Solar & Photovoltaik
1105|Haustechnik|Wärmepumpen
6041|Haustechnik|Ladestationen
2750|Haustechnik|Sicherheitstechnik
1109|Haustechnik|Ersatzteile & Zubehör
233|Installation
5040|Installation|Merten
3440|Installation|Berker
4609|Installation|Jung
5286|Installation|Siedle
4149|Installation|Gira
3786|Installation|Busch-Jaeger
919|Foto & Optik
951|Foto & Optik|Kameras & Camcorder
952|Foto & Optik|Ferngläser
954|Foto & Optik|Sonstiges & Zubehör
7|Lampen & Leuchten
591|Computer & Software
601|Computer & Software|Desktop-PC
600|Computer & Software|Notebooks & Tablets
598|Computer & Software|Monitore
593|Computer & Software|Drucker & Scanner
689|Computer & Software|Zubehör & Ersatzteile
3396|Computer & Software|Sonstiges
1194|Büro & Kommunikation
1296|Büro & Kommunikation|Bürobedarf
1199|Büro & Kommunikation|Telefonie
1198|Büro & Kommunikation|Navigation & Autoradios
1197|Büro & Kommunikation|Netzwerktechnik
1172|Outdoor & Reisen
1173|Outdoor & Reisen|Rucksäcke
5623|Outdoor & Reisen|Koffer
1183|Outdoor & Reisen|Trolley
1182|Outdoor & Reisen|Rollenreisetaschen
1403|Outdoor & Reisen|Bekleidung
1404|Outdoor & Reisen|Bergsteigen & Klettern
5930|Outdoor & Reisen|Camping & Freizeit
5949|Verschiedenes
569|Restposten
1125|Restposten|Beispiele ENKV
1128|Restposten|Haushaltsgeräte Klein
1126|Restposten|Camcorder|Foto & Optik
1136|Restposten|PC & Notebooks
1131|Restposten|Installation & Montage
1135|Restposten|Mobilfunk & Navigation
1130|Restposten|EIB-Gebäude & Systemtechnik
1134|Restposten|Garten
1137|Restposten|Bürotechnik
1127|Restposten|Haushaltsgeräte Groß
1133|Restposten|Werkzeuge
1132|Restposten|Haustechnik
1129|Restposten|Baby- & Kleinkindhelfer